region,reg_id,city,state,city_id,start,finish,posted,filled,Notes,post_id,,
Southeast,SE,Miami,FL,MIA,11/13/16,11/18/16,9/5/16,,,MIA4268742692NFHB,,
Southeast,SE,Miami,FL,MIA,11/20/16,11/23/16,9/5/16,,,MIA4269442697DHCU,,
Southeast,SE,Miami,FL,MIA,12/12/16,12/19/16,9/5/16,,,MIA4271642723EHAX,, 
Southeast,SE,Miami,FL,MIA,3/12/17,3/17/17,9/5/16,,,MIA4280642811JYQN,,
Southeast,SE,Miami,FL,MIA,4/3/17,4/8/17,9/5/16,,,MIA4282842833HZGV,,
Southwest,SW,Dallas,TX,DAL,10/2/16,10/5/16,9/5/16,,,DAL4264542648NAHB,,
Southwest,SW,Dallas,TX,DAL,10/9/16,10/14/16,9/5/16,,,DAL4265242657IUFI,,
Southwest,SW,Dallas,TX,DAL,10/30/16,11/4/16,9/5/16,,,DAL4267342678ITVG,,
Southwest,SW,Dallas,TX,DAL,11/6/16,11/11/16,9/5/16,,*,DAL4268042685OIEO,,
Southwest,SW,Dallas,TX,DAL,11/13/16,11/17/16,9/5/16,,,DAL4268742691CROK,,
Southwest,SW,Dallas,TX,DAL,11/27/16,11/30/16,9/5/16,,,DAL4270142704QUNS,,
Southwest,SW,Dallas,TX,DAL,12/4/16,12/8/16,9/5/16,,,DAL4270842712PSVA,,
Southwest,SW,Dallas,TX,DAL,12/11/16,12/16/16,9/5/16,,,DAL4271542720KVNS,,
Southwest,SW,Dallas,TX,DAL,12/18/16,12/23/16,9/5/16,,,DAL4272242727EZEN,,
Southwest,SW,Dallas,TX,DAL,5/21/17,5/25/17,9/5/16,,,DAL4287642880CYKD,,
Southwest,SW,Dallas,TX,DAL,6/25/17,6/29/17,9/5/16,,,DAL4291142915SDZI,,
Southwest,SW,Dallas,TX,DAL,9/10/17,9/15/17,9/5/16,,,DAL4298842993RUTI,,
Southwest,SW,Dallas,TX,DAL,9/17/17,9/21/17,9/5/16,,,DAL4299542999AUTT,,
West,WC,Reno,NV,REN,11/6/16,11/9/16,9/5/16,,,REN4268042683RLXS,,
West,WC,Reno,NV,REN,11/20/16,11/23/16,9/5/16,,,REN4269442697OABM,,
West,WC,Reno,NV,REN,12/5/16,12/8/16,9/5/16,,,REN4270942712YDTF,,
West,WC,Reno,NV,REN,12/12/16,12/15/16,9/5/16,,,REN4271642719VHDG,,
West,WC,Reno,NV,REN,1/3/17,1/6/17,9/5/16,,,REN4273842741WHLU,,
West,WC,Reno,NV,REN,4/9/17,4/12/17,9/5/16,,,REN4283442837BEUO,,
West,WC,Reno,NV,REN,4/30/17,5/2/17,9/5/16,,,REN4285542857LBLI,,
West,WC,Reno,NV,REN,5/14/17,5/17/17,9/5/16,,,REN4286942872TLAI,,
West,WC,Reno,NV,REN,5/22/17,5/25/17,9/5/16,,,REN4287742880IDUB,,
West,WC,Reno,NV,REN,5/28/17,6/2/17,9/5/16,,*,REN4288342888IWGB,,
West,WC,Reno,NV,REN,6/4/17,6/8/17,9/5/16,,,REN4289042894YVNK,,
West,WC,Reno,NV,REN,6/25/17,6/30/17,9/5/16,,,REN4291142916LXRL,,
West,WC,Reno,NV,REN,7/2/17,7/5/17,9/5/16,,*,REN4291842921PPJE,,
